date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART,
20121130,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,0.006219,
20121231,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,0.01258,
20130131,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,0.054189,
20130228,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,0.008284,
20130328,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,0.035319999,
20130430,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,0.014942,
20130531,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,0.019154999,
20130628,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,-0.015071,
20130731,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,0.052689999,
20130830,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,-0.025761001,
20130930,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,0.037514001,
20131031,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,0.039907999,
20131129,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,0.024972999,
20131231,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,0.026159,
20140131,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,-0.030046999,
20140228,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,0.046225,
20140331,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,0.004544,
20140430,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,0.001569,
