date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART
20150731,-0.019183,0.235113,-0.032888,-0.047633,0.039288,0.047158,0.057123,-0.047957,0.096135,-0.004119,-0.048167,0.028217,0.050384,0.035658,0.057758,0.218026,-0.007956,0.075455,0.052707,0.014803
20150831,-0.054017,-0.043383,-0.066117,-0.082182,-0.087258,-0.042843,-0.151,-0.040904,-0.048718,-0.079017,-0.005872,-0.054685,-0.039956,-0.086669,-0.061456,0.006299,0.131704,-0.098724,-0.053752,-0.093915
20150930,-0.002603,-0.00195,-0.021816,-0.033399,0.002066,0.028739,0.003141,-0.011829,0.005256,-0.019744,0.056062,-0.006704,0.03694,-0.074466,0.017004,-0.102321,0.09653,-0.02514,0.001009,0.001699
20151030,0.108909,0.222724,0.083409,0.054671,0.130737,0.055583,0.112916,0.112845,0.13426,-0.033731,0.123424,0.082271,0.139247,0.106702,0.189336,0.049584,0.150913,0.076727,0.119257,-0.117212
20151130,0.002513,0.06215,-0.00569,-0.000754,-0.011549,0.014168,-0.002374,-0.00423,0.022261,0.004569,0.033963,0.009502,0.024944,-0.030187,0.039324,0.137941,0.122136,-0.022768,0.025479,0.027952
20151231,-0.037936,0.016682,-0.110228,-0.042601,-0.005913,0.007977,-0.067683,-0.045432,0.004029,-0.012911,-0.009203,0.014619,0.034863,0.005093,0.020791,-0.07257,0.039092,-0.014953,-0.016188,0.050136
20160129,0.00239,-0.131516,-0.075242,0.034584,-0.169168,-0.000931,-0.088123,-0.001283,0.072138,-0.093228,-0.099565,0.016745,0.04774,-0.040704,-0.00703,-0.197062,-0.111347,-0.055452,-0.131888,0.082545
20160229,0.046225,-0.058739,-0.001335,-0.008929,-0.007159,0.004893,-0.003131,0.038921,-0.047144,0.060421,-0.037718,0.014554,-0.046049,-0.009078,-0.069886,0.017095,0.074599,-0.017055,-0.004555,-0.000301
20160331,0.062217,0.074423,0.127211,0.102944,0.074124,0.0837,0.039678,0.042919,0.067153,0.155842,0.093275,0.028419,0.072446,0.062936,0.085495,0.094422,0.136161,-0.001011,0.089742,0.039946
20160429,0.004501,0.111094,-0.139921,-0.037753,0.061919,-0.034275,0.039774,0.057543,0.0305,-0.036382,-0.063988,0.03586,0.006445,0.036477,-0.097049,-0.119339,-0.002807,0.103576,0.026683,-0.023653
20160531,0.012248,0.095817,0.071368,0.047502,-0.056083,-0.004464,-0.039125,0.015498,0.010461,0.06304,0.051849,0.01258,-0.035023,0.025893,0.069982,0.139287,0.318182,0.070009,0.104354,0.065949
20160630,0.040399,-0.00992,-0.04266,-0.007702,0.029489,0.024215,-0.01411,0.053022,-0.038128,-0.012749,0.038303,0.076404,-0.0068,0.032172,-0.034528,-0.108121,0.006207,0.014697,-0.051368,0.031647
20160729,0.018502,0.060353,0.090063,0.104929,0.029183,-0.037503,-0.011859,-0.051099,0.084529,0.058242,0.062805,0.032399,-0.022353,0.018226,0.10768,-0.002514,0.214635,0.047714,0.030097,-0.000685
20160831,0.011157,0.01364,0.023606,-0.028006,-0.023343,-0.004584,-0.015529,-0.011917,0.017589,-0.002117,0.037005,-0.040645,-0.00935,0.070406,0.020113,0.067945,0.07627,-0.048523,-0.029095,-0.014115
20160930,-0.016793,0.088603,0.065504,0.028437,0.01769,-0.017499,-0.016938,0.001607,0.017047,-0.000189,0.051825,-0.010139,-0.002594,0.001274,0.002436,0.011288,0.117052,-0.026724,-0.101863,0.009518
20161031,-0.062021,-0.056717,0.004334,-0.036138,0.081145,0.00189,-0.001831,-0.045371,0.021205,-0.032483,-0.076291,-0.018116,-0.024185,-0.059125,0.040278,0.267073,0.038529,-0.063773,0.053694,-0.029118
20161130,0.045675,-0.049695,-0.021578,-0.023575,0.064734,-0.040094,0.069371,0.056769,-0.095962,0.064611,0.002581,-0.033537,0.067869,0.042064,0.012183,-0.063026,0.297639,0.023021,-0.042044,0.005856
20161230,0.039769,-0.000933,0.047955,0.087947,0.034006,0.027509,0.059322,0.033906,-0.028458,0.02324,0.045245,0.03513,0.020542,-0.030234,0.031198,0.05812,0.157701,0.010579,-0.049167,-0.011501
20170131,-0.021,0.098164,0.047746,0.081996,0.049717,0.002653,0.061696,-0.070574,0.132725,0.051389,0.015164,-0.017012,0.006983,0.052998,0.040393,0.136591,0.022859,-0.023091,0.155419,-0.034433
20170228,0.072675,0.026182,0.133581,0.002389,0.111553,0.009382,-0.005061,-0.021695,0.040055,0.038391,-0.009777,0.086181,0.049115,0.062591,-0.004331,0.010092,-0.069243,0.085408,0.028445,0.062781
20170331,0.026724,0.04911,0.04869,0.091298,-0.018698,0.020257,0.029976,0.008485,0.04803,-0.031587,-0.003591,0.019147,0.015354,-0.028237,0.029384,0.039963,0.073413,0.002638,0.014014,0.023403
20170428,0.02352,0.043371,-0.00007,0.00269,0.045064,0.01673,0.01949,-0.00439,0.057726,-0.079534,0.002218,-0.008671,0.079623,-0.019043,0.039478,0.0297,-0.042504,-0.008477,0.044005,0.043008
20170531,0.05012,0.075276,0.067804,0.001062,0.022832,0.053766,-0.066263,-0.004654,0.008053,-0.03843,0.006432,0.045517,0.078325,0.044601,0.025854,0.071419,0.385331,-0.028007,0.040873,0.052275
20170630,0.018193,-0.026764,-0.057214,-0.012728,0.053936,-0.005498,-0.015657,0.002857,-0.003169,0.007862,-0.065633,0.031501,0.021274,-0.008447,-0.01303,-0.083768,0.001455,0.02879,-0.033913,-0.03715
